name,LTP,%Chg,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty
Power Finance ,251.90,0.70,"15,828,545",251.90,0.00,"1,132",0
Prestige Estate ,721.40,0.75,"865,344",721.40,0.00,40,0
PNB ,75.25,0.07,"31,664,409",0.00,75.25,0,"36,452"
REC ,294.05,0.27,"9,744,816",294.05,0.00,357,0
Shriram Finance ,"1,867.55",-0.71,"492,792","1,867.55",0.00,82,0
Sona BLW ,559.65,-0.08,"277,010",0.00,559.65,0,177
SAIL ,89.20,0.34,"10,487,993",0.00,89.20,0,"26,849"
Sun TV Network ,644.55,1.74,"2,748,923",0.00,644.55,0,948
Syngene Intl ,776.90,-0.35,"692,488",776.90,0.00,2,0
Tata Chemicals ,"1,040.85",0.56,"583,658",0.00,"1,040.85",0,193
Tata Comm ,"1,796.95",-0.67,"410,841",0.00,"1,796.95",0,805
Tata Elxsi ,"7,477.05",0.45,"100,722",0.00,"7,477.05",0,26
TataTeleservice ,96.30,-0.41,"3,089,479",96.30,0.00,"11,789",0
Ramco Cements ,"1,000.40",0.43,"523,283","1,000.40",0.00,607,0
Torrent Power ,734.40,0.61,"312,995",0.00,734.40,0,497
Trent ,"2,107.65",1.10,"446,019",0.00,"2,107.65",0,373
Trident ,37.15,0.13,"7,880,153",0.00,37.15,0,"28,678"
Tube Investment ,"3,010.85",1.49,"116,181","3,010.85",0.00,82,0
TVS Motor ,"1,601.70",0.05,"582,454",0.00,"1,601.70",0,59
Union Bank ,105.05,2.09,"18,681,567",0.00,105.05,0,32
United Brewerie ,"1,565.20",-1.10,"362,528","1,565.20",0.00,51,0
Varun Beverages ,922.65,-0.74,"1,820,084",922.65,0.00,139,0
Vodafone Idea ,11.80,-1.67,"196,345,841",0.00,11.80,0,"100,712"
Voltas ,852.40,0.82,"889,834",852.40,0.00,118,0
Whirlpool ,"1,692.70",-1.28,"32,219","1,692.70",0.00,45,0
Yes Bank ,17.05,-0.29,"67,053,870",17.05,0.00,"603,106",0
Zee Entertain ,255.65,-1.06,"3,396,777",0.00,255.65,0,"5,021"
Zydus Life ,591.20,-0.13,"509,125",0.00,591.20,0,226
